"","word","values"
"725","Inkonsequenz","-0.0455"
"726","Inkonsequenzen","-0.0455"
"727","Inkonsistenz","-0.3097"
"728","Instabilität","-0.3358"
"729","Instabilitäten","-0.3358"
"730","Intervention","-0.1975"
"731","Interventionen","-0.1975"
"732","Invasion","-0.0048"
"733","Invasionen","-0.0048"
"734","Isolation","-0.3453"
"735","Isolationen","-0.3453"
"736","Jammer","-0.4613"
"737","Jammers","-0.4613"
"738","Jammeres","-0.4613"
"739","Jähzorn","-0.0048"
"740","Kampf","-0.5372"
"741","Kapitalverbrechen","-0.0048"
"742","Kapitalverbrechens","-0.0048"
"743","Kapitulation","-0.0048"
"744","Kapitulationen","-0.0048"
"745","Katastrophe","-0.5027"
"746","Katastrophen","-0.5027"
"747","Keim","-0.0048"
"748","Keims","-0.0048"
"749","Keime","-0.0048"
"750","Keimes","-0.0048"
"751","Keimen","-0.0048"
"752","Klage","-0.0048"
"753","Klagen","-0.0048"
"754","Klischee","-0.48"
"755","Klischees","-0.48"
"756","Kläger","-0.3673"
"757","Klägers","-0.3673"
"758","Klägern","-0.3673"
"759","Knappheit","-0.0048"
"760","Kollaps","-0.0048"
"761","Kollapses","-0.0048"
"762","Kollapsen","-0.0048"
"763","Kollapse","-0.0048"
"764","Kollision","-0.3323"
"765","Kollisionen","-0.3323"
"766","Komplikation","-0.0048"
"767","Komplikationen","-0.0048"
"768","Konflikt","-0.0048"
"769","Konfliktes","-0.0048"
"770","Konflikte","-0.0048"
"771","Konflikts","-0.0048"
"772","Konflikten","-0.0048"
"773","Konfrontation","-0.0048"
"774","Konfrontationen","-0.0048"
"775","Konjunkturrückgang","-0.0048"
"776","Konkurrenz","-0.0461"
"777","Konkurrenzen","-0.0461"
"778","Konkurrenzkampf","-0.0494"
"779","Konkurrenzkampfs","-0.0494"
"780","Konkurrenzkämpfe","-0.0494"
"781","Konkurrenzkampfes","-0.0494"
"782","Konkurrenzkämpfen","-0.0494"
"783","Konkurs","-0.0048"
"784","Konkurse","-0.0048"
"785","Konkurses","-0.0048"
